id,user,uid,version,changeset,timestamp
4379913,NE2,207745,14,13381044,2012-10-06T06:20:53Z
4860371,ChrisZontine,1376118,17,28617029,2015-02-04T19:22:33Z
4860375,NE2,207745,27,13397679,2012-10-07T13:14:11Z
4964746,karitotp,2748195,64,39221616,2016-05-10T16:01:19Z
4964747,karitotp,2748195,34,39221860,2016-05-10T16:12:19Z
4988022,n76,318696,44,20998921,2014-03-09T03:36:03Z
5005996,TorieRob,3821658,34,40043864,2016-06-15T17:55:18Z
5018653,n76,318696,33,17943971,2013-09-20T17:27:55Z
5018736,TorieRob,3821658,6,40043864,2016-06-15T17:55:18Z
5018739,karitotp,2748195,18,39220853,2016-05-10T15:34:42Z
5018740,Telecas,202256,6,43016328,2016-10-19T19:03:36Z
5018743,Paul Vernaza,18685,8,46724970,2017-03-09T23:38:33Z
5018744,Telecas,202256,5,31334304,2015-05-21T06:17:18Z
5018745,Telecas,202256,7,46261469,2017-02-21T02:22:40Z
5018747,n76,318696,4,21109242,2014-03-15T00:32:37Z
5031893,n76,318696,54,17945349,2013-09-20T19:03:32Z
5031970,markscalf,2772907,20,45221160,2017-01-16T17:31:11Z
5071561,Telecas,202256,7,31464861,2015-05-26T07:47:16Z
5071569,andygol,94578,31,46751561,2017-03-10T22:35:03Z
6239172,calfarome,2511706,19,39225837,2016-05-10T19:07:48Z
6240691,RichRico,2219338,25,36941030,2016-02-01T17:09:17Z
6240692,NE2,207745,26,13397679,2012-10-07T13:14:01Z
6240693,NE2,207745,30,13397679,2012-10-07T13:14:02Z
8923218,balrog-kun,20587,5,4245371,2010-03-27T15:26:44Z
8923230,adbrown,54598,2,806835,2008-11-29T02:02:20Z
8923234,mk408,201724,8,3947793,2010-02-22T21:39:00Z
8923287,Minh Nguyen,33757,17,34010522,2015-09-13T23:16:50Z
8923313,Minh Nguyen,33757,17,33996643,2015-09-13T10:08:53Z
8923342,TorieRob,3821658,13,40044472,2016-06-15T18:27:20Z
8923352,balrog-kun,20587,2,4245371,2010-03-27T15:26:47Z
8923548,ChrisZontine,1376118,5,18288515,2013-10-10T21:25:20Z
8923550,ChrisZontine,1376118,4,18288515,2013-10-10T21:25:19Z
8923560,stevea,123633,12,3960008,2010-02-24T04:56:03Z
8923644,Apo42,25510,5,10069783,2011-12-08T23:48:47Z
8923653,dtcomposer,35900,3,808031,2009-03-13T22:46:59Z
8923655,dtcomposer,35900,3,808031,2009-03-13T22:47:02Z
8923698,DaveHansenTiger,7168,1,110155,2007-10-12T00:42:12Z
8923799,dannykath,2226712,14,36866473,2016-01-28T21:49:45Z
8923865,dannykath,2226712,15,36866473,2016-01-28T21:49:45Z
8923867,markscalf,2772907,16,45762448,2017-02-02T23:01:26Z
8923871,dannykath,2226712,17,36866473,2016-01-28T21:49:46Z
8923873,calfarome,2511706,7,36728644,2016-01-21T20:50:37Z
8923969,RichRico,2219338,11,36804012,2016-01-25T20:05:14Z
8924041,calfarome,2511706,10,36840751,2016-01-27T16:51:40Z
8924062,ediyes,1240849,15,39863326,2016-06-07T14:53:42Z
8924068,adbrown,54598,2,729116,2008-11-10T06:39:52Z
8924089,Bike Mapper,74705,5,15143049,2013-02-24T01:40:51Z
8924105,Skybunny,1751737,13,42272274,2016-09-19T14:54:55Z
8924220,dannykath,2226712,15,39253697,2016-05-11T21:46:06Z
8924311,calfarome,2511706,13,36842883,2016-01-27T18:39:59Z
8924322,YongYang,1408707,7,26221395,2014-10-20T19:44:32Z
8924364,Iowa Kid,703517,11,32707359,2015-07-17T20:57:50Z
8924405,ChrisZontine,1376118,9,18288515,2013-10-10T21:25:19Z
8924424,Telecas,202256,5,45153466,2017-01-14T05:09:45Z
8924426,Telecas,202256,3,45153466,2017-01-14T05:09:45Z
8924451,balrog-kun,20587,4,4245371,2010-03-27T15:26:54Z
8924455,Luis36995,1829683,11,36826154,2016-01-26T21:44:44Z
8924487,mk408,201724,5,6924299,2011-01-10T09:32:39Z
8924489,mk408,201724,7,6983981,2011-01-16T03:07:41Z
8924490,mk408,201724,6,6983981,2011-01-16T03:07:34Z
8924545,NE2,207745,13,13422450,2012-10-09T06:59:34Z
8924551,dannykath,2226712,15,36866473,2016-01-28T21:49:46Z
8924575,bill42,482916,22,12072545,2012-07-01T07:13:52Z
8924592,wallclimber21,81024,2,3010440,2009-11-01T19:54:11Z
8924605,Telecas,202256,13,45154433,2017-01-14T07:05:34Z
8924615,Telecas,202256,16,46407619,2017-02-26T04:36:02Z
8924617,Dan Lengyel,778321,15,21961559,2014-04-26T19:02:44Z
8924637,Minh Nguyen,33757,21,33406539,2015-08-18T03:54:42Z
8924646,Minh Nguyen,33757,16,34354275,2015-09-30T19:25:49Z
8924682,RichRico,2219338,18,36944683,2016-02-01T20:05:45Z
8924685,dannykath,2226712,15,39224707,2016-05-10T18:22:33Z
8924777,beddy,3207726,11,39542555,2016-05-24T19:19:25Z
8924786,mk408,201724,3,6802417,2010-12-29T19:39:04Z
8924790,Telecas,202256,7,44315747,2016-12-11T04:49:43Z
8924792,calfarome,2511706,9,36860932,2016-01-28T17:09:54Z
8924803,markscalf,2772907,11,45495342,2017-01-26T00:50:27Z
8924915,wallclimber21,81024,3,1491105,2009-06-11T21:10:27Z
8924921,Bike Mapper,74705,6,17026556,2013-07-20T18:43:49Z
8924933,isw,123995,3,3059183,2009-11-07T21:12:30Z
8924962,adbrown,54598,2,787469,2008-11-24T07:23:09Z
8924968,ediyes,1240849,12,36863483,2016-01-28T19:31:13Z
8925043,beddy,3207726,8,34531503,2015-10-09T14:56:12Z
8925045,beddy,3207726,6,34531503,2015-10-09T14:56:11Z
